,B1_mean,B1_std,B1_skew,B1_rms,B1_p2p,B2_mean,B2_std,B2_skew,B2_rms,B2_p2p,B3_mean,B3_std,B3_skew,B3_rms,B3_p2p,B4_mean,B4_std,B4_skew,B4_rms,B4_p2p
2004-02-12 10:32:39,0.05833287758191331,0.07347801857138431,0.08392907619065866,0.07418001939277949,0.8400000000000001,0.07183163240392648,0.09005695039182222,0.12684335740679434,0.09094475404601768,0.9770000000000001,0.08324190634308314,0.10843569769119901,0.2047707025373197,0.10940292188224622,1.934,0.04306655598417764,0.053168986414166626,-0.0220810155673183,0.05410474384748614,0.457
2004-02-12 10:42:39,0.05899521461008769,0.07533943565983704,0.0520544335613171,0.0753817891240941,0.757,0.07400571316958819,0.09338429070377878,0.07002132244752554,0.0934169536688873,0.938,0.08443542165144764,0.10978967438630122,-0.023790852283088665,0.10981474018532666,1.433,0.044541042043067094,0.05597556205439696,0.0016452275709661467,0.0561020177735314,0.478
2004-02-12 10:52:39,0.060236437326040664,0.07618881285867954,0.03286947465449743,0.07622761795279173,0.903,0.07422662239367123,0.09370711796791674,0.09657438560629497,0.09372015995635745,0.994,0.08392607060891626,0.10985482562219519,0.05655889357346105,0.10986372641040495,1.719,0.04444308804140667,0.056039387348527286,0.07051560208674972,0.05614637956518867,0.688
2004-02-12 11:02:39,0.06145544216026119,0.07869447820550035,0.041523339629660413,0.07872550887324226,1.184,0.07384408418379779,0.0929199952754173,0.10592006161872314,0.09294860244994184,1.043,0.08445744421114317,0.11061977492029132,0.03353684298234472,0.11066160367029386,1.951,0.04508140045900594,0.05668636393294509,-0.03640927543962514,0.05680816349624759,1.038
2004-02-12 11:12:39,0.06136075980272448,0.07844003535080543,0.028133928158671856,0.07847485144734644,0.782,0.07560876995947072,0.09533966832958578,0.0980136347547105,0.09535010980392772,0.938,0.0828368084379122,0.10750307385579856,-0.002802257026174465,0.10750673459509393,1.516,0.045118365154547535,0.056778490326852685,0.019102715426925876,0.05684149766868912,0.45599999999999996
2004-02-12 11:22:39,0.06166482738414932,0.07829592813340773,0.026859297738417623,0.0783107019714664,0.8049999999999999,0.07327862688607763,0.09239458365915386,0.06072233947483705,0.09240366114815836,0.96,0.08487924215049512,0.11050893497103442,0.07735455882949524,0.11050952269898985,1.643,0.04417222520630746,0.05549690236862292,0.012718213778111893,0.055567220129563694,0.489
2004-02-12 11:32:39,0.06194389374481137,0.07861870018874302,0.05850890805422668,0.07863313071819818,0.796,0.07459290004394699,0.09390677991215113,0.09913974273229874,0.09391974656515546,1.04,0.0826263001123098,0.10737697990328521,0.14565641145302397,0.10739042396477422,1.6139999999999999,0.044658577078957803,0.056206039612250895,-0.019687531168728446,0.05627979090230375,0.45599999999999996
2004-02-12 11:42:39,0.06123052883441498,0.0777484534542011,0.08249403504642658,0.07777286911807968,0.749,0.07417159040968728,0.09322804812764843,0.08684554883358683,0.09324202904416266,0.82,0.08202192489867637,0.10622320374143225,0.0015439417672146317,0.10623431702503239,1.5470000000000002,0.0438400800820339,0.055457700032163985,-0.01723977094245825,0.05550518777919617,0.456
2004-02-12 11:52:39,0.06227974998779191,0.07900737564891369,-0.008154246900790632,0.07902857118923585,0.747,0.07580775428487717,0.09585877235120442,0.035212144746159295,0.09585974406268903,1.07,0.08437228380291958,0.11058141863664253,0.034262995615388286,0.11058659100922037,1.736,0.0442722300893584,0.055798025170116866,0.00843342735440181,0.055854558241484505,0.557
2004-02-12 12:02:39,0.05989027784559737,0.07568802269516567,0.046384593601192466,0.07571536369604259,0.722,0.0751147516968594,0.09472730616726306,0.08961558603836002,0.0947406566942666,0.883,0.08450603056789824,0.10975937067575918,0.00624852266936389,0.1097730362532451,1.445,0.04397397333854041,0.05539286268563957,0.029720276446396632,0.05546092326560313,0.5449999999999999
