,signal,anomaly
2004.03.04.09.27.46,0.061630011231016586,0
2004.03.04.09.32.46,0.06077415889447653,0
2004.03.04.09.42.46,0.0621948337321155,0
2004.03.04.09.52.46,0.06299438449142995,0
2004.03.04.10.02.46,0.061945309829581,0
2004.03.04.10.12.46,0.06223536305483645,0
2004.03.04.10.22.46,0.0627453488939884,0
2004.03.04.10.32.46,0.0610963914253622,0
2004.03.04.10.42.46,0.06202631964451405,0
2004.03.04.10.52.46,0.06096113091459577,0
2004.03.04.11.02.46,0.06174222374139265,0
2004.03.04.11.12.46,0.06218868108794382,0
2004.03.04.11.22.46,0.06269686019825202,0
2004.03.04.11.32.46,0.061478880804726375,0
2004.03.04.11.42.46,0.06356701987401678,0
2004.03.04.11.52.46,0.06327247424190582,0
2004.03.04.12.02.46,0.06365188729918426,0
2004.03.04.12.12.46,0.06256570145026587,0
2004.03.04.12.22.46,0.06280877972557211,0
2004.03.04.12.32.46,0.0644243859563453,0
2004.03.04.12.42.46,0.06499042922017603,0
2004.03.04.12.52.46,0.06454079789052153,0
2004.03.04.13.02.46,0.0642335563259921,0
2004.03.04.13.12.46,0.06323560720738301,0
2004.03.04.13.22.46,0.06499980467796206,0
2004.03.04.13.32.46,0.06386986669270897,0
2004.03.04.13.42.46,0.06200830118658115,0
2004.03.04.13.52.46,0.06348698666927052,0
2004.03.04.14.02.46,0.06237506714195001,0
2004.03.04.14.12.46,0.0639502905415302,0
2004.03.04.14.22.46,0.06328292397089667,0
2004.03.04.14.32.46,0.06292597294789735,0
2004.03.04.14.42.46,0.06328927193710567,0
2004.03.04.14.52.46,0.06354807363640792,0
2004.03.04.15.02.46,0.06311338444259991,0
2004.03.04.15.12.46,0.06352898090727081,0
2004.03.04.15.22.46,0.06372659797841701,0
2004.03.04.15.32.46,0.06336525220957989,0
2004.03.04.15.42.46,0.06376043752136296,0
2004.03.04.15.52.46,0.06352321890717272,0
2004.03.04.16.02.46,0.06323795107182992,0
2004.03.04.16.12.46,0.0650119146442696,0
2004.03.04.16.22.46,0.062281556716636655,0
2004.03.04.16.32.46,0.0632422481566482,0
2004.03.04.16.42.46,0.06244816641437575,0
2004.03.04.16.52.46,0.06160764685775677,0
2004.03.04.17.02.46,0.0627171736901213,0
2004.03.04.17.12.46,0.061957566287416395,0
2004.03.04.17.22.46,0.06393652033790657,0
2004.03.04.17.32.46,0.06381532301381895,0
2004.03.04.17.42.46,0.06183719908198683,0
2004.03.04.17.52.46,0.06298339762683713,0
2004.03.04.18.02.46,0.061984081253967316,0
2004.03.04.18.12.46,0.06327423214024117,0
