Unnamed: 0,signal,anomaly
2004.03.04.09.27.46,0.0519908686947595,0
2004.03.04.09.32.46,0.0522386835294684,0
2004.03.04.09.42.46,0.0548093656916834,0
2004.03.04.09.52.46,0.054261096733238,0
2004.03.04.10.02.46,0.0532365349870587,0
2004.03.04.10.12.46,0.0550178719664039,0
2004.03.04.10.22.46,0.0545421163142728,0
2004.03.04.10.32.46,0.0528536549636206,0
2004.03.04.10.42.46,0.0553587089213334,0
2004.03.04.10.52.46,0.0547069192831678,0
2004.03.04.11.02.46,0.0541406318667895,0
2004.03.04.11.12.46,0.0548186923189601,0
2004.03.04.11.22.46,0.0549328580497089,0
2004.03.04.11.32.46,0.0540385761023484,0
2004.03.04.11.42.46,0.0546767908589282,0
2004.03.04.11.52.46,0.0565649201621169,0
2004.03.04.12.02.46,0.056326480785194,0
2004.03.04.12.12.46,0.0542684213096339,0
2004.03.04.12.22.46,0.0567453000634795,0
2004.03.04.12.32.46,0.0558167879290976,0
2004.03.04.12.42.46,0.0550599150349133,0
2004.03.04.12.52.46,0.0584111040578152,0
2004.03.04.13.02.46,0.0580614287807015,0
2004.03.04.13.12.46,0.0565240978563406,0
2004.03.04.13.22.46,0.0570688998486249,0
2004.03.04.13.32.46,0.0558360759802716,0
2004.03.04.13.42.46,0.0564604717027192,0
2004.03.04.13.52.46,0.0549416475413833,0
2004.03.04.14.02.46,0.054227110698764,0
2004.03.04.14.12.46,0.0567490111821862,0
2004.03.04.14.22.46,0.0545518335856236,0
2004.03.04.14.32.46,0.0553970897016452,0
2004.03.04.14.42.46,0.0551677816299617,0
2004.03.04.14.52.46,0.0561317935446058,0
2004.03.04.15.02.46,0.0565730748571705,0
2004.03.04.15.12.46,0.0558438888617606,0
2004.03.04.15.22.46,0.0543377606328429,0
2004.03.04.15.32.46,0.0544094926510075,0
2004.03.04.15.42.46,0.0560467307974018,0
2004.03.04.15.52.46,0.0556849455539812,0
2004.03.04.16.02.46,0.0546880218760673,0
